Original Keyword,Processed Keyword
Mesenchymal stem cell,mesenchymal stem cell
mesenchymal stem cell,
mesenchymal stem cell (MSC),mesenchymal stem cell
mesenchymal stem cells,mesenchymal stem cell
Mesenchymal stem cells,mesenchymal stem cell
Mesenchymal Stem Cells (MSCs),mesenchymal stem cell
Mesenchymal stem cells (MSCs),mesenchymal stem cell
Mesenchymal stem cells microvesicles,
mesenchymal stem/stromal cells,mesenchymal stem cell
mesenchymal stromal cells,mesenchymal stem cell
mesenteric lymph,
metabolic syndrome,
metabolism,
Metabolism,metabolism
metalloproteinase,
Metastasis-associated lung adenocarcinoma transcript-1,MALAT1
metformin,
methylation,
methylprednisolone,
Mg supplementation,
MG53,
mice.,mouse
microcirculation,
microfluidics,
microparticles,
MicroRNA,miRNA
microRNA,miRNA
MicroRNA-125b-5p,
microRNA-150-5p,
microRNA-374a-5p,
microRNA-877-5p,
microRNA-92a,miR-92a
microRNAs,miRNA
micro-RNAs,miRNA
microsphere,
microthrombogenesis,
Microtubule,microtubule
microtubule,
microtubules,microtubule
Microtubules,microtubule
microvascular barrier,
microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Microvascular endothelium,ECs/HPMECs/HUVECs/MPVECs
Microvascular permeability,permeability
microvascular permeability,permeability
microvasculature,
microvesicle,
Microvesicles,microvesicle
Midkine,
MIF,
migration,
Migration,migration
mineralocorticoid receptor,
miR-101,
miR-107,
miR-122-5p,
miR-124,
miR-126,
miR-128-3p,
miR-1321,
MiR-142a-5p,
miR-144,
miR-150,
miR-17,
miR-186-5p,
miR-199,
miR-204-3p,
miR-217-5p,
miR-223,
miR-29a,
miR-29b-3p,
miR-30c-5p,
MIR3142HG,
miR-3188,
miR-33 and RIP140,
miR-330-5p,
miR-34a,
MiR-4262,
miR-450b-5p,
miR-483-5p,
miR-490,
miR-642a-5p,
miR-92a,
miRNA,
miRNA-181a-5p,
miRNA-21a-3p,
miRNA-451,
Mitochondria,mitochondria
mitochondria,
mitochondrial aldehyde dehydrogenase 2,
Mitochondrial bioenergetics,
Mitochondrial biogenesis,
Mitochondrial DNA,
mitochondrial dysfunction,
mitochondrial fission/fusion,
mitochondrial respiration,
Mitochondrial ROS,ROS
mitochondrial ROS,ROS
mitochondrial targeting,
Mitochondrial transcription factor A,
Mitochondrial transfer,mitochondrial transfer
mitochondrial transfer,
mitochondrial transmembrane potential,
Mitochondrial UPR,
mitochondrial-mediated apoptosis,
mitogen-activated protein kinase,MAPK
Mitogen-activated protein kinase signaling pathways,MAPK
mitogen-activated protein kinases,MAPK
mitogen-activated protein kinases (MAPKs),MAPK
mitophagy,
MitoQ,
MJ33,
MK2,
MK571,
MLCK,
MLKL,
MMP inhibitor,MMP/MMP3/MMP9
MMP1,
MMP3,MMP/MMP3/MMP9
MMP9,MMP/MMP3/MMP9
MMP-9,MMP/MMP3/MMP9
molecular biology,
molecular mechanism,
Molecular pathology,
monocyte,
Monocyte adhesion,
Monocytes,monocyte
morphology,
morphometry,
mouse,
MPO,
MPVEC cells,ECs/HPMECs/HUVECs/MPVECs
MPVECs,ECs/HPMECs/HUVECs/MPVECs
MRP4,
MRSA,
mtDNA repair,
mTOR,
multi-organ dysfunction syndrome (MODS),
multiple organ failure,
Murine model,
murine models,murine model
mutant Prdx6,
MyD88,
MyD88 acetylation,
myeloperoxidase,MPO
MYLK,
myosin,
myosin light chain kinase (MLCK),MLCK
Na+,
NAD(+),
NAD(P)H: quinine oxidoreductase-1,
NADPH oxidase,NOX/NOX1/NOX2/NOX4
NADPH oxidase (NOX),NOX/NOX1/NOX2/NOX4
NADPH oxidase isoform 2 (NOX2),NOX/NOX1/NOX2/NOX4
nanocarrier,
nanomedicine,
Nanomedicine,nanomedicine
Nanoparticles,nanoparticles
nanoparticles,
nanostructured lipid carriers,nanostructured lipid carrier
nanotechnology,
natriuretic peptides,natriuretic peptide
NcRNAs,non-coding RNA
necroptosis,
Necroptosis,necroptosis
necrosis,
neferine,
NE-kappa B,
neonatal pulmonary disease,
neovascularization,
Neovascularization,neovascularization
NETosis,
NETs,neutrophil extracellular traps
network formation,
Neuraminidase,
neutrophil,
Neutrophil,neutrophil
neutrophil adhesion,
Neutrophil adhesion,neutrophil adhesion
neutrophil extracellular trap (NET),neutrophil extracellular traps
neutrophil extracellular traps,
neutrophil migration,
neutrophil recruitment,
neutrophil transendothelial migration,
neutrophil-derived mediators,
Neutrophil-endothelium adhesion,
Neutrophils,neutrophils
neutrophils,
new anti-CitH3 antibody,
NF kappa B Signaling,NF-kappa B
NF-?B,NF-kappa B
NF-?B signaling pathway,NF-kappa B
NF-kappa B,
NF-kappa b,NF-kappa B
NF-kappa B p65,NF-kappa B
NF-kappa B P65,NF-kappa B
NF-kappa B pathway,NF-kappa B
NF-KB,NF-kappa B
NF-KB activation,NF-kappa B
NF-KB pathway,NF-kappa B
niacinamide,
Nicotinamide adenine dinucleotide phosphate oxidase 4,
nicotinamide phosphoribosyltransferase,
Nifedipine,
Nitration,nitration
nitration,
nitrative stress,
nitric oxide,NO
Nitric oxide,NO
Nitric oxide (NO),NO
nitric oxide synthase,
nitric oxide synthase 2,
Nitrite,
nitrogen mustard,
NLRP3,
NLRP3 inflammasome,
NMDA receptor,
NO,
NOD-,
noncanonical TERT,
non-coding RNA,
non-human primate,
Non-muscle myosin heavy chain IIA,
Non-muscle myosin IIA,
Non-muscle myosin light chain kinase,
non-selective cation channel,
nonviral vector,
Notch pathway,
novel coronavirus diseases (or COVID-19),COVID-19/SARS-CoV-2/Coronavirus
NOX enzymes,NOX/NOX1/NOX2/NOX4
NOX1,NOX/NOX1/NOX2/NOX4
NOX2,NOX/NOX1/NOX2/NOX4
NOX2 inhibition,NOX/NOX1/NOX2/NOX4
Nox4,NOX/NOX1/NOX2/NOX4
NOX4,NOX/NOX1/NOX2/NOX4
Nrf(2),Nrf2
Nrf2,
NRF2,Nrf2
NS1619,
nuclear factor (NF)-kB p65,NF-kappa B
nuclear factor erythroid 2-related factor 2,Nrf2
Nuclear factor -kappa B (NF,NF-kappa B
Nuclear factor-kappa B,NF-kappa B
nuclear factor-kappa B,NF-kappa B
nuclear factor-kappa B (NF-kappa B),NF-kappa B
nuclear factor-kappa B pathway,NF-kappa B
nuclear factor-kappaB,NF-kappa B
nuclear translocation,
nucleocapsid,
Nur77,
Obesity,obesity
obesity,
Occludin,
ODSH,
oedema,
Ogg1 depletion,
Omentin-1,
or acute respiratory distress syndrome,ALI/ARDS
Orai 1,
Organ injury,
Organ interaction,
organ protection,
Oridonin,oridonin
oridonin,
osteopontin,
Outcome,
oxidant injury,
oxidant stress,oxidative stress
oxidation,
oxidative burst,
Oxidative damage,
Oxidative Stress,oxidative stress
Oxidative stress,oxidative stress
oxidative stress,
Oxidized low-density lipoprotein,
oxidized phospholipids,
OxPAPC,
oxygen oscillations,
oxygen-glucose deprivation/oxygen-glucose restoration,
P aeruginosa,Pseudomonas aeruginosa
P- selectin,
p190RhoGAP,
p22phox,
p23,
P2Y12 inhibitors,
P2Y12 receptor,
p38,MAPK
P38,MAPK
p38 MAP kinase,MAPK
p38 MAPK,MAPK
p38 MAPK signaling pathway,MAPK
p38 mitogen-activated protein kinase,MAPK
P38MAPK,MAPK
p38MAPK,MAPK
p47phox,
P53,
p53 induction,P53
P53 pathway,P53
P73,
PAI-1,plasminogen activator inhibitor 1
PAK1/AKT pathway,
PAMPs,Pathogen-associated molecular patterns (PAMPs)
PAR,
paracellular permeability,
Paracrine,
Paracrine effects,
Paraquat,
paraquat,
PARK7,
parthanatos,
Particulate matter,
pathobiology,
Pathogen-associated molecular patterns (PAMPs),
pathology,
Pathology Section,
Pathophysiologic feature,
pathophysiology,
pathway analysis,
paxillin,
PBEF/NAMPT,
p-Catenin,
p-Coumaric acid,
PCTR1,
PDE4B,
PEAR1,
PECAM-1,
pediatrics,
PEEP,
PEL12,
Pentraxin 3,
perivascular edema,
Permeability,permeability
permeability,
Permeability barrier,
Peroxisome proliferator-activated receptor gamma,
PFKFB3,
PGC-1 alpha mitochondria biogenesis,
Pharmacokinetics,
phorbol myristate,
phosphatidic acid signaling,
phosphatidylinositol 3-kinase,PI3K
phosphodiesterase,
phosphodiesterase inhibitor,
Phospholipase D2,
phospholipase D2 (PLD2),Phospholipase D2
phospholipid scramblase 4 (PLSCR4),
phospholipidomics,
phospholipids,
phosphorylation,
phosphotyrosine signaling,
Phytochemicals,
PI3K,
PI3K p110 alpha,PI3K
PI3K/Akt,PI3K/Akt pathway
PI3K/Akt pathway,PI3K/Akt pathway
PI3K/Akt signaling pathway,PI3K/Akt pathway
PI3K/Akt/eNOS,
PI3K/AKT/mTOR pathway,
PIAS1,
Piezo1,
PIM,
PIM1,
PI-PLC,
PKA,
PKC alpha,
PKC inhibitor,
PKC pathway,
PLA(2)G5,
Plasma,
plasma,
plasminogen activator inhibitor 1,
plasminogen activator inhibitor-1,plasminogen activator inhibitor 1
Plasmodium,
platelet,
Platelet activating factor,
platelet-endothelial cell adhesion molecule,
Platelets,platelet
platelets,platelet
plexin C1,
PMN,
PMN extravasation,
PMVEC,ECs/HPMECs/HUVECs/MPVECs
PMVECs,ECs/HPMECs/HUVECs/MPVECs
pneumococcal pneumonia,
Pneumococcal pneumonia,pneumococcal pneumonia
Pneumocytes,
Pneumolysin,pneumolysin
pneumolysin,
pneumonia,
Pneumonia,pneumonia
poisoning,
polymer micelles,
polymorphism,
polymorphonuclear neutrophil,
Polymorphonuclear neutrophils,polymorphonuclear neutrophil
Polyphyllin I,
porcine reproductive and respiratory syndrome virus (PRRSV),
porous silicon,
Post ARDS pulmonary fibrosis,
Postoperative period,
posttranslational,
Post-translational Modification,
Post-translational modifications,Post-translational Modification
PP2A,Thr protein phosphatase 2A
Pravastatin,
Prdx6 phosphorylation,
pre-B cell colony-enhancing factor,
preconditioning,
preterm neonates,
prevention,
primary graft dysfunction,
primary human lung cells,
priming,
Pristimerin,
PRNCR1,
progenitor cells,
Prognosis,
programmed cell death,
Pro-inflammatory factor,
proinflammatory mediators,
Proliferation,proliferation
proliferation,
promoter,
promoter activity,
propofol,
prostaglandin F-2 alpha (PGF(2 alpha)),
prostanoid EP receptor,
Protective autophagy,
protein C,protein kinase C
Protein kinase C,protein kinase C
protein kinase C,
Protein kinase C-delta,protein kinase C
protein kinase G,
protein processing,
Protein Structure,
protein tyrosine phosphatase non-receptor type 14 (PTPN14),
proteome,
proteomics,
P-selectin,
Pseudomonas aeruginosa,
PTEN,
PTP1B,
PTX,
pulmonary,
Pulmonary,pulmonary
pulmonary angiogenesis,
pulmonary arterial hypertension,
pulmonary artery,
pulmonary artery endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Pulmonary barrier dysfunction,
pulmonary biology,
pulmonary capillary,
pulmonary capillary endothelial cells,ECs/HPMECs/HUVECs/MPVECs
pulmonary capillary vessels,pulmonary capillary vessel
pulmonary circulation,
pulmonary disease,
pulmonary EC,ECs/HPMECs/HUVECs/MPVECs
pulmonary edema,
Pulmonary edema,pulmonary edema
pulmonary embolism,
pulmonary endothelial barrier,ECs/HPMECs/HUVECs/MPVECs
Pulmonary endothelial barrier,ECs/HPMECs/HUVECs/MPVECs
pulmonary endothelial cell,ECs/HPMECs/HUVECs/MPVECs
pulmonary endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Pulmonary endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Pulmonary endothelial permeability,permeability
pulmonary endothelial permeability,permeability
Pulmonary endothelium,ECs/HPMECs/HUVECs/MPVECs
pulmonary endothelium,ECs/HPMECs/HUVECs/MPVECs
Pulmonary epithelial cells,pulmonary epithelial cell
pulmonary fibrosis,
Pulmonary fibrosis,pulmonary fibrosis
pulmonary function,
pulmonary hypertension,
Pulmonary hypertension,pulmonary hypertension
pulmonary hypoplasia,
pulmonary inflammation,
Pulmonary inflammation,pulmonary inflammation
pulmonary inflammatory disease,pulmonary inflammation
pulmonary injury,
pulmonary microvascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Pulmonary microvascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
pulmonary microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Pulmonary microvascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
pulmonary microvascular endothelial cells (PMVECs),ECs/HPMECs/HUVECs/MPVECs
Pulmonary microvascular endothelial cells (PMVECs),ECs/HPMECs/HUVECs/MPVECs
Pulmonary microvascular endothelial permeability,permeability
pulmonary microvascular endothelium barrier,
Pulmonary microvascular injury and repair,
Pulmonary microvascular permeability,permeability
pulmonary mierovascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Pulmonary pathology,
pulmonary sarcoidosis,
pulmonary smooth muscle,
Pulmonary vascular barrier,
Pulmonary vascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
Pulmonary vascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
pulmonary vascular endothelium,ECs/HPMECs/HUVECs/MPVECs
Pulmonary vascular endothelium-targeting,
pulmonary vascular leak,
Pulmonary vascular permeability,permeability
pulmonary vasculature,
PV-1,
PWV Analysis,
pyroptosis,
Pyroptosis,pyroptosis
qing yin tang,
qPCR,
RAAS,
Rab GTPase,
RAB26 GTPase,
rabeprazole,
Rac1,
Radiation lung injury,radiation-induced lung injury
radiation-induced lung injury,
radiosensitivity,
RAGE,
Raltegravir,
Ramelteon,
Rap1,
rapamycin,
ras-related C3 botulinum toxin substrate 1,Rac1
Rat,rat
rat,
RBC transfusion,
RBM3,
reactive nitrogen species,
Reactive oxygen species,ROS
reactive oxygen species,ROS
Reactive oxygen species (ROS),ROS
reactive oxygen species (ROS),ROS
reactive oxygen species (ROS) genera-,ROS
receptor,
Receptor interacting protein 140 (RIP140),
receptor subtype-specific mechanism,
Receptor-interacting protein 3,RIP3
receptors,
Recombinant Protein Expression,
Recombinant PSGL-1-Ig fusion protein,
recruitment maneuvers,
red blood cells,
Redox Regulation,
Redox-stress,
reduced albumin,
regeneration,
Regeneration,regeneration
regioisomer,
regulatory T-cells,
remifentanil,
Remodeling,
Renal ischemia-reperfusion,ischemia/reperfusion
renin-angiotensin system,
Renin-angiotensin system (RAS),renin-angiotensin system
Repair,repair
repair,
reperfusion,ischemia/reperfusion
resealing,
respiratory disease,
respiratory distress syndrome,
respiratory distress syndrome (adult),"respiratory distress syndrome, adult"
"Respiratory distress syndrome, adult","respiratory distress syndrome, adult"
"Respiratory Distress Syndrome, Adult","respiratory distress syndrome, adult"
"respiratory distress syndrome, adult","respiratory distress syndrome, adult"
respiratory epithelium,
Respiratory infection,respiratory infection
respiratory infection,
respiratory mechanics,
respiratory system,
Respiratory virus,
Retinal arterioles,
Reverse D-4F,
review,
Rhamnocitrin,
rhAPC,
Rho,Rho/RhoA
Rho (Rho GTPase),Rho/RhoA
Rho GTPases,Rho/RhoA
Rho kinase,Rho/RhoA
Rho kinase inhibitor,Rho/RhoA
Rho/ROCK,Rho/ROCK pathway
Rho/ROCK pathway,
RhoA,Rho/RhoA
RhoA/ROCK,RhoA/ROCK signaling pathway
RhoA/ROCK signaling pathway,
rho-Associated Kinases,Rho/RhoA
Rho-associated protein kinase,Rho/RhoA
rhodopsin,
RhoGDI,
Rho-kinase,Rho/RhoA
RIP3,
rivaroxaban,
RNA interference,
RNA-Seq,
Robo4,
ROCK,
ROCK1,
ROCK2,
root extract,
ROS,
ROS accumulation,ROS
ROS signaling,ROS
Rosiglitazone,
Runx1 isoforms,
Ruscogenin,
sACE2,
Salbutamol,
Saquinavir,
SARS virus,COVID-19/SARS-CoV-2/Coronavirus
SARS-COV-2,COVID-19/SARS-CoV-2/Coronavirus
SARS-CoV-2,COVID-19/SARS-CoV-2/Coronavirus
sartans,
SB203580,
sCD40L,
seawater,
secretion,
secretory phospholipase A(2),
Segmental lipopolysaccharide (LPS) challenge,
SELPLG promoter activity,
Sema3A,
Semaglutide,
semaphorin 7A,
Semaphorin 7A,semaphorin 7A
senescence,
Sepsis,sepsis
sepsis,
Sepsis-associated acute lung injury,sepsis; ALI/ARDS
Sepsis-induced acute lung injury,sepsis; ALI/ARDS
sepsis-induced acute lung injury,sepsis; ALI/ARDS
Sepsis-induced ALI,sepsis; ALI/ARDS
Septic acute lung injury,sepsis; ALI/ARDS
Ser,
serine proteases,
SERP1,
SET gene,
Severe acute pancreatitis,severe acute pancreatitis
severe acute pancreatitis,
Severe Acute Respiratory Syndrome,COVID-19/SARS-CoV-2/Coronavirus
Sevoflurane,
S-Glutathionylation of Src,
SH2 domain-containing protein tyrosine phosphatase 2,
shedding,
short interference (si)-RNA,siRNA
shRNA,
sialic acid,
sickle cell disease,
Signal mechanism,
signal transducer and activator of transcription 5,STAT3/STAT5
signal transducer and activator of transcription-3,STAT3/STAT5
Signal transduction,signal transduction
signal transduction,
signaling,
signaling mechanisms,signaling mechanism
Signaling pathway,signaling pathway
signaling pathway,
silencing,
Simvastatin,simvastatin
simvastatin,
simvastatin delivery,
single-cell RNA sequencing,
Single-cell RNA sequencing,single-cell RNA sequencing
single-cell RNA-sequencing,single-cell RNA sequencing
siRNA,siRNA
Sirt1,SIRT1
SIRT1,SIRT1
SIRT1 protein,SIRT1
SIRT3,
Sirtuin,
sitagliptin,
Sivelestat,
Sivelestat sodium (SIV),Sivelestat
skeletal rearrangement,
SLC-0111,
Slit2,
SMAD2,
SMAD7,
Small extracellular vesicles,
small interfering RNA,siRNA
small RNA,
Smoke inhalation,smoke inhalation
smoke inhalation,
SND,
SNHG3,
S-nitrosoalbumin,
S-nitrosylation,
SOCE,store-operated calcium entry
SOCs,
soluble adenylate cyclase,
soluble adenylyl cyclase,soluble adenylate cyclase
Soluble cluster of differentiation 74,
soluble fractalkine,
Sonic hedgehog,
Sox9,
Sp1,
sphingolipids,
sphingomyelin synthase,
S1P,S1P/S1PR1/S1PR2/S1PR3
S1P lyase,S1P/S1PR1/S1PR2/S1PR3
S1P receptors,S1P/S1PR1/S1PR2/S1PR3
S1p receptors,S1P/S1PR1/S1PR2/S1PR3
S1PR1,S1P/S1PR1/S1PR2/S1PR3
S1pr1,S1P/S1PR1/S1PR2/S1PR3
Sphingosine 1-phosphate,S1P/S1PR1/S1PR2/S1PR3
sphingosine 1-phosphate,S1P/S1PR1/S1PR2/S1PR3
sphingosine 1-phosphate receptor 1,S1P/S1PR1/S1PR2/S1PR3
sphingosine kinase,
sphingosine kinase 1,
Sphingosine-1-phosphate,S1P/S1PR1/S1PR2/S1PR3
sphingosine-1-phosphate,S1P/S1PR1/S1PR2/S1PR3
sphingosine-1-phosphate lyase,S1P/S1PR1/S1PR2/S1PR3
sphingosine-1-phosphate receptor 2,S1P/S1PR1/S1PR2/S1PR3
sphingosine-1-phosphate receptor-3,S1P/S1PR1/S1PR2/S1PR3
spike protein,
spironolactone and dexamethasone,
sPLA(2)-V,
splicing,
Src,
SRC,Src
Src protein tyrosine kinase,Src
Src signaling,Src
Src/VE-Cadherin pathway,
Src-suppressed C kinase substrate,
SRPK1,
SRT1720,
Stanford type-A acute aortic dissection,
stanniocalcin,
Staphylococcus aureus,
Staphylococcus aureus (S,Staphylococcus aureus
Staphylococcus aureus enterotoxin,Staphylococcus aureus
STAT3,STAT3/STAT5
STAT3 pathway,STAT3/STAT5
STAT3 Transcription Factor,STAT3/STAT5
statins,
Statins,statins
STEAP1,
Steen solution,
Stem cell therapy,
Stem cell transplantation,Stem cell therapy
Stem/progenitor cells,stem/progenitor cell
STING,
store-operated calcium entry,
Stress fibers,
stretch,
stromal interacting molecule 1,
Stromelysin1,MMP/MMP3/MMP9
stromelysin-1,MMP/MMP3/MMP9
SU5416,
sub-phenotypes,
substrate stiffness,
sulfatase 2,
Sulforaphane,
sulfur dioxide,
superinfection,
Superoxide Ion,
Surface charge,
surface modification,
Surfactants,
survival,
survival and homing,
sweet taste,
Syndecan-1,
systemic disease,
Systemic inflammation,
Systemic inflammatory response,
T cells,
T helper cell immune responses,
T1R3,
target genes,
Targeted drug delivery,
targeted drugs,
targeted therapy,
targeting ability,
Targeting strategy,
tau,
Technique,
Telocyte,
telocytes,
TEM,
TER,
terbutaline,
tert-butyl hydroperoxide,
tetramethylpyrazine,
Tetramethylpyrazine,
TGF-beta 1,
TGF-beta signaling,
TGFBR3,
therapeutic targets,
therapy,
theta defensin,
thiourea,
Thr protein phosphatase 1,
Thr protein phosphatase 2A,
thrombin,
Thrombin,
thrombomodulin,
thrombosis,
thromboxane,
ticagrelor,
Tie1,Tie1/Tie2
Tie-1,Tie1/Tie2
Tie2,Tie1/Tie2
Tie-2,Tie1/Tie2
tight junction,
Tight junction,tight junction
tight junction protein,tight junction
Tight junction protein,tight junction
Tight junction proteins,tight junction
tight junction proteins,tight junction
Tight junctions,tight junction
tight junctions,tight junction
tight junctions (TJs),tight junction
TIMP-1,
tissue damage,
tissue factor,
tissue factor pathway inhibitor,
tissue plasminogen activator,
TLR2,TLR/TLR2/TLR4
TLR4,TLR/TLR2/TLR4
TMP269,
TNF,TNF/TNF-alpha/TNFR1
TNF-a,TNF/TNF-alpha/TNFR1
TNFAIP3,
TNF-alpha,TNF/TNF-alpha/TNFR1
TNFR1,TNF/TNF-alpha/TNFR1
tobacco,
Tocilizumab,tocilizumab
tocilizumab,
tolerance,
Toll -like receptor,TLR/TLR2/TLR4
toll like receptor 4,TLR/TLR2/TLR4
Toll-like receptor 4 (TLR4),TLR/TLR2/TLR4
Toll-like receptors,TLR/TLR2/TLR4
Topoisomerase II alpha,
TRAF6-mediated pathway,
TRALI,transfusion; ALI/ARDS
Tranilast,
transcript regulation,
transcription factor,
transcription factors,transcription factor
transcriptional regulation,
transcriptional repression,
transcriptome,
transcriptome analysis,transcriptome
transcriptomics,
transcriptomics and bioinformatics,
transcytosis,
Transendothelial migration,
transendothelial resistance,
transforming growth factor-beta receptor type 2 (TGF-beta-R2),
Transfusion,transfusion
transfusion,
Transfusion medicine,transfusion
transfusion-related acute lung injury,transfusion; ALI/ARDS
Transfusion-related acute lung injury,transfusion; ALI/ARDS
transfusion-related acute lung injury (TRALI),transfusion; ALI/ARDS
Transient receptor potential vanilloid 4 (TRPV4),
translational outcomes,translational outcome
translational research,
transmigration,
Trans-migration,transmigration
Transmission electron microscopy,
transwell co-cultures,
Trauma,trauma
trauma,
Trauma and injury,trauma
trauma/hemorrhagic shock,
treatment,
Treatment,treatment
tripartite motif containing 37,
Tripterygium hypoglaucum,
Trogocytosis,
TRPC,
TRPV4,Transient receptor potential vanilloid 4 (TRPV4)
TSGL-Ig,
TTP-like syndrome,
tubulin,
TUG1,
tumor necrosis factor,TNF/TNF-alpha/TNFR1
tumor necrosis factor a,TNF/TNF-alpha/TNFR1
tumor necrosis factor receptor type I,TNF/TNF-alpha/TNFR1
tumor necrosis factor receptor-1,TNF/TNF-alpha/TNFR1
tumor necrosis factor-alpha,TNF/TNF-alpha/TNFR1
Tumor necrosis factor-alpha,TNF/TNF-alpha/TNFR1
TUNEL assay,
Tunneling nanotubes,tunneling nanotube
Two-hit,
two-hit ALI,
two-hit model,
Txnip,
type 2 alveolar epithelial cells,type 2 alveolar epithelial cell
tyrosine kinase,
ubiquitin E3 ligase,
ubiq-uitination,
Ubiquitin-specific protease 18,
ulinastatin,
Ulinastatin (UTI),ulinastatin
ultrastructure,
Unc-51 like autophagy activating kinase 1,
Unfolded protein response,
unfolded protein response,
Unfractionated heparin,
Urea-correction,
ursodeoxycholic acid,
USA300,
vagal stimulation,
Vascular,vascular
vascular,
Vascular barrier,vascular barrier
vascular barrier,
Vascular barrier dysfunction,
vascular biology,
vascular diseases,vascular disease
Vascular diseases,vascular disease
Vascular endothelial barrier,ECs/HPMECs/HUVECs/MPVECs
Vascular endothelial cadherin,VE-cadherin
vascular endothelial cadherin,VE-cadherin
vascular endothelial cell,ECs/HPMECs/HUVECs/MPVECs
vascular endothelial cell (VEC),ECs/HPMECs/HUVECs/MPVECs
Vascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
vascular endothelial cells,ECs/HPMECs/HUVECs/MPVECs
Vascular endothelial dysfunction,
vascular endothelial glycocalyx,endothelial glycocalyx (EG)
Vascular endothelial growth factor,VEGF/VEGFA
Vascular endothelial growth factor (VEGF),VEGF/VEGFA
vascular endothelial growth factor (VEGF),VEGF/VEGFA
Vascular endothelial growth factor a (VEGFa),VEGF/VEGFA
vascular endothelial-cadherin,VE-cadherin
vascular endothelium,ECs/HPMECs/HUVECs/MPVECs
Vascular endothelium,ECs/HPMECs/HUVECs/MPVECs
Vascular inflammation,vascular inflammation
vascular inflammation,
Vascular injury,
vascular integrity,
Vascular integrity,vascular integrity
vascular leak,vascular leakage
Vascular leak,vascular leakage
vascular leakage,
Vascular leakage,vascular leakage
vascular microthrombotic disease (VMTD),
Vascular permeability,permeability
vascular permeability,permeability
Vascular reactivity,
vascular regeneration,
vascular remodeling,
vascular repair,
vascular targeting,
Vasculature,
Vasculotide,
vasoconstriction,
vasodilation,
vasomotion,
vaspin,
VE-cadherin,
VE-Cadherin,VE-cadherin
VEGF,VEGF/VEGFA
VEGFA,VEGF/VEGFA
veno-occlusive disease,
Ventilation-induced lung injury,ventilator-induced lung injury
Ventilator-induced lung injury,ventilator-induced lung injury
ventilator-induced lung injury,
ventilator-induced lung injury (VILI),ventilator-induced lung injury
VE-PTP,
Verdiperstat,
Vessel permeability,
Vessel type,
Viability,
VILI,ventilator-induced lung injury
Viola diffusa,
viral vector,
virus,
von Willebrand factor,
wearability,
whole lung tissue engineering,
Wnt,
wound healing,
wound healing assay,
XBP-1S,
XBP-1U,
XIST,
Xuebijing Injection,
Y-27632,
Yes-associated protein,
zinc finger E-box binding homeobox 1,
ZO-1,zonula occludens 1
zonula occludens 1,
zonula occludens-1 protein,zonula occludens 1
zonulae occludente 1,zonula occludens 1
zymosan,
#NAME?,
