Original Keyword,Processed Keyword
human pulmonary microvascular endothelial cells (HPMECs),human pulmonary microvascular endothelial cells (HPMECs)
human tissue factor pathway inhibitor (hTFPI),human tissue factor pathway inhibitor (hTFPI)
human toxicology,human toxicology
human umbilical cord mesenchymal stem cell,human umbilical cord mesenchymal stem cell
HuR,HuR
HUVEC,HUVEC
HUVECs,HUVEC
Hyaline membranes,Hyaline membranes
Hyaluronan,Hyaluronan
Hyaluronic,Hyaluronic
hydrochloric acid,hydrochloric acid
hydrogen peroxide,hydrogen peroxide
Hydrogen sulfide,hydrogen sulfide
hydrogen sulfide,hydrogen sulfide
Hydrogen-rich medium,Hydrogen-rich medium
Hydrolyzing angiotensin II (AngII),Hydrolyzing angiotensin II (AngII)
hypercapnia,hypercapnia
hypercapnic acidosis,hypercapnic acidosis
Hypercoagulopathy,Hypercoagulopathy
hyperinflation,hyperinflation
hyperoxia,hyperoxia
Hyperoxia,hyperoxia
hyperoxia induced acute lung injury,hyperoxia induced acute lung injury
hyperoxic acute lung injury,hyperoxia induced acute lung injury
hyperpermeability,hyperpermeability
Hyper-permeability,hyperpermeability
hyperthermia,hyperthermia
hypertonic saline,hypertonic saline
hypoxemia,hypoxemia
hypoxia,hypoxia
Hypoxia inducible factor-1 alpha,HIF1 alpha
hypoxia-inducible factor,HIF
hypoxia-inducible factor 1 alpha,HIF1 alpha
hypoxic pulmonary vasoconstriction,hypoxic pulmonary vasoconstriction
ICAM1,ICAM-1
ICAM-1,ICAM-1
IFN gamma,IFN gamma
IFN regulatory factor 1,IFN regulatory factor 1
IGFBP7,IGFBP7
IL-10,interleukin-10
IL-6,interleukin-6
IL-8,interleukin-8
image cytometry,image cytometry
Imatinib,imatinib
imatinib,imatinib
immune complex,immune complex
Immune response,immune response
immune response,immune response
Immunity,Immunity
Immunoassay,Immunoassay
immunohistochemistry,immunohistochemistry
Immunology and Microbiology Section,Immunology and Microbiology Section
Immunomodulation,Immunomodulation
immunopositive cells,immunopositive cell
Immunothrombosis,immunothrombosis
immunothrombosis,immunothrombosis
In silico study,In silico study
in vitro disease modeling,in vitro disease modeling
in vivo lung perfusion,in vivo lung perfusion
inactive rhomboid-like protein 2,inactive rhomboid-like protein 2
Indinavir,Indinavir
indirect acute lung injury,indirect acute lung injury
indirect ARDS,indirect ARDS
Indirect lung injury,Indirect lung injury
Induced pluripotent stem cell,induced pluripotent stem cell
induced pluripotent stem cell,induced pluripotent stem cell
induced pluripotent stem cells,induced pluripotent stem cell
infection,infection
inflammasome,inflammasome
Inflammasome activation,Inflammasome activation
Inflammation,Inflammation
inflammation,inflammation
inflammatory,Inflammation
inflammatory cytokines,inflammatory cytokines
Inflammatory cytokines,inflammatory cytokines
inflammatory disease,inflammatory disease
inflammatory immune response,inflammatory immune response
Inflammatory injury,Inflammatory injury
inflammatory mediator,inflammatory mediator
Inflammatory regulation,Inflammatory regulation
inflammatory response,inflammatory response
Inflammatory response,inflammatory response
Inflammatory responses,inflammatory response
inflammatory signaling,inflammatory signaling
influenza,influenza
Influenza,influenza
Influenza virus,Influenza virus
inhalation,inhalation
inhalation toxicology/pulmonary toxicology,inhalation toxicology/pulmonary toxicology
injury,injury
innate immunity,innate immunity
Innate immunity,innate immunity
integrin,integrin
integrin ? M,integrin ? M
integrin alpha v beta 5,integrin alpha v beta 5
integrin beta 4,integrin beta 4
integrin? 2,integrin? 2
Integrins,integrins
integrins,integrins
intensive care,intensive care
Intensive care unit,Intensive care unit
interaction,interaction
Interaction,interaction
intercellular adhesion molecule-1,ICAM-1
intercellular communication networks,intercellular communication networks
interferon-gamma,interferon-gamma
interleukin-1 beta,interleukin-1 beta
Interleukin-17,Interleukin-17
interleukin-6,interleukin-6
interleukin-6 (IL-6),interleukin-6
interleukin-8,interleukin-8
intermedin (IMD),intermedin (IMD)
intersectin-1s,intersectin-1s
Intestinal barrier,Intestinal barrier
intestinal injury,intestinal injury
intestinal ischemia,intestinal ischemia
intracellular sphingosine-1-phosphate,intracellular sphingosine-1-phosphate
intravital microscopy,intravital microscopy
IQGAP1,IQGAP1
iron chelators,iron chelators
Iron complexes,Iron complexes
ischemia,ischemia
ischemia reperfusion injury,ischemia reperfusion injury
ischemia/reperfusion,ischemia/reperfusion
Ischemia/reperfusion,ischemia/reperfusion
Ischemia-reperfusion,ischemia/reperfusion
ischemia-reperfusion injury,ischemia reperfusion injury
ISM1,ISM1
isoflurane,isoflurane
isolated perfused lungs,isolated perfused lungs
Isoorientin,Isoorientin
Isopropyl 3-(3,Isopropyl 3-(3
ITGA5,ITGA5
JAK2,JAK2
JAK-STAT signaling pathway,JAK-STAT signaling pathway
Janus Kinase 2,JAK2
Janus kinase-2,JAK2
Jingfang granules,Jingfang granules
JNK,JNK
JNK phosphorylation,JNK phosphorylation
JNK signalling,JNK signalling
Junction protein,Junction protein
junctional complexes,junctional complexes
Kaempferol,Kaempferol
Kawasaki disease shock syndrome,Kawasaki disease shock syndrome
KCa3.1,KCa3.1
Keap1,Keap1
Kidney,Kidney
kinases,kinases
kindlin-2,kindlin-2
Kir2.1,Kir2.1
KLF7,KLF7
KRIT1,KRIT1
Kruppel-like factor 2,KLF2
laboratory animals,laboratory animals
lamellipodia,lamellipodia
large conductance K+ channels,large conductance K+ channels
large conductance potassium channels,large conductance potassium channels
LBP,LBP
LDHA,LDHA
Lentiviral vector,Lentiviral vector
leukocyte adhesion,leukocyte adhesion
leukocyte antibodies,leukocyte antibodies
leukocytes,leukocytes
LIF,LIF
Linagliptin,Linagliptin
LINC00839,LINC00839
lipid mediator,lipid mediator
lipid signaling,lipid signaling
Lipids,Lipids
lipocalin-type prostaglandin D synthase,lipocalin-type prostaglandin D synthase
lipopolysaccharide,LPS
Lipopolysaccharide,LPS
lipopolysaccharide (LPS),LPS
Lipopolysaccharide (LPS),LPS
lipopolysaccharide-induced lung injury,lipopolysaccharide-induced lung injury
Lipopolysaccharides,LPS
lipopolysaccharides,LPS
Lipopolysaccharides (LPS),LPS
lipoprotein,lipoprotein
liposome,liposome
Liposomes,liposome
lipoxin A4,lipoxin A4
Lipoxin A4,lipoxin A4
LipoxinA4,lipoxin A4
lipoxins,lipoxins
lncRNA,lncRNA
LncRNA H19,LncRNA H19
LncRNA MALAT1,LncRNA MALAT1
lncRNA NORAD,lncRNA NORAD
lncRNA OIP5-AS1,lncRNA OIP5-AS1
lncRNA THRIL,lncRNA THRIL
Local anesthetics,Local anesthetics
long myosin light chain kinase,long myosin light chain kinase
Long non-coding RNA cardiac hypertrophy-related factor (lncRNA CHRF),Long non-coding RNA cardiac hypertrophy-related factor (lncRNA CHRF)
LPS,LPS
LPS-induced acute lung injury,LPS-induced acute lung injury
LRR- and pyrin domain-containing protein 3 inflammasome,LRR- and pyrin domain-containing protein 3 inflammasome
LTB4 receptors,LTB4 receptors
L-type voltage-gated Ca2+ channels,L-type voltage-gated Ca2+ channels
Lung,lung
lung,lung
lung adenocarcinoma transcript 1,lung adenocarcinoma transcript 1
lung barrier function,lung barrier function
Lung cancer,lung cancer
lung cancer,lung cancer
lung capillaries,lung capillaries
Lung development,Lung development
lung disease,lung disease
Lung disease,lung disease
Lung edema,lung edema
lung edema,lung edema
lung endothelial cells,lung endothelial cells
lung endothelial permeability,lung endothelial permeability
lung endothelium,lung endothelium
lung epithelial cells,lung epithelial cells
Lung fibrosis,Lung fibrosis
lung function,lung function
Lung function,lung function
Lung imaging,Lung imaging
lung inflammation,lung inflammation
Lung inflammation,lung inflammation
lung inflammatory injury,lung inflammatory injury
Lung injury,lung injury
lung injury,lung injury
Lung Injury,lung injury
lung ischemia reperfusion injury,lung ischemia reperfusion injury
lung ischemia-reperfusion,lung ischemia-reperfusion
Lung mechanics,Lung mechanics
lung microvascular endothelial cells,lung microvascular endothelial cells
Lung microvascular endothelial cells,lung microvascular endothelial cells
lung oedema,lung oedema
lung permeability,lung permeability
Lung protein permeability,Lung protein permeability
Lung recovery,Lung recovery
lung resection,lung resection
lung targeting,lung targeting
Lung targeting,lung targeting
lung transplant,lung transplantation
lung transplantation,lung transplantation
lung vascular endothelium,lung vascular endothelium
lung vascular injury,lung vascular injury
Lung vascular permeability,lung vascular permeability
lung vascular permeability,lung vascular permeability
Luteolin,Luteolin
Lycium barbarum polysaccharide,Lycium barbarum polysaccharide
lysophosphatidic acid,lysophosphatidic acid
lysophosphatidylcholine,lysophosphatidylcholine
lysophospholipid,lysophospholipid
Lysosome,Lysosome
M2 macrophages,M2 macrophages
macrophage,macrophage
Macrophage depletion,Macrophage depletion
macrophage polarization,macrophage polarization
Macrophages,macrophage
macrophages,macrophage
malaria,malaria
Malaria,malaria
MALAT1,MALAT1
mammalian TOR (mTOR)/signal transducer and activator of transcription 3 (STAT-3) pathway,mTOR/STAT3
MAP kinase,MAPK
MAP Kinase Signaling System,MAPK signaling pathways
MAP kinases,MAPK
MAPK,MAPK
MAPKinase,MAPK
mapks,MAPK
MAPKs,MAPK
margination,margination
Mas receptor,Mas receptor
mast cell activation,mast cell activation
matory responses,matory responses
Matrigel,Matrigel
matrix metalloproteinase,MMP
Matrix metalloproteinase 9,MMP9
MCP-1,MCP-1
MCTR1,MCTR1
mechanical forces,mechanical forces
mechanical stress,mechanical stress
Mechanical ventilation,mechanical ventilation
mechanical ventilation,mechanical ventilation
mechanism,mechanism
mechanisms,mechanism
Mechanisms,mechanism
melatonin,melatonin
Membrane dynamics,Membrane dynamics
meningitis,meningitis
MERS-CoV,MERS-CoV
Mesenchymal stem cell,mesenchymal stem cell
mesenchymal stem cell,mesenchymal stem cell
mesenchymal stem cell (MSC),mesenchymal stem cell
mesenchymal stem cells,mesenchymal stem cell
Mesenchymal stem cells,mesenchymal stem cell
Mesenchymal Stem Cells (MSCs),mesenchymal stem cell
Mesenchymal stem cells (MSCs),mesenchymal stem cell
Mesenchymal stem cells microvesicles,Mesenchymal stem cells microvesicles
mesenchymal stem/stromal cells,mesenchymal stem cell
mesenchymal stromal cells,mesenchymal stem cell
mesenteric lymph,mesenteric lymph
metabolic syndrome,metabolic syndrome
metabolism,metabolism
Metabolism,metabolism
metalloproteinase,metalloproteinase
Metastasis-associated lung adenocarcinoma transcript-1,MALAT1
metformin,metformin
methylation,methylation
methylprednisolone,methylprednisolone
Mg supplementation,Mg supplementation
MG53,MG53
mice.,mouse
microcirculation,microcirculation
microfluidics,microfluidics
microparticles,microparticles
MicroRNA,miRNA
microRNA,miRNA
MicroRNA-125b-5p,MicroRNA-125b-5p
microRNA-150-5p,microRNA-150-5p
microRNA-374a-5p,microRNA-374a-5p
microRNA-877-5p,microRNA-877-5p
microRNA-92a,miR-92a
microRNAs,miRNA
micro-RNAs,miRNA
microsphere,microsphere
microthrombogenesis,microthrombogenesis
Microtubule,microtubule
microtubule,microtubule
microtubules,microtubule
Microtubules,microtubule
microvascular barrier,microvascular barrier
microvascular endothelial cells,microvascular endothelial cells
Microvascular endothelium,Microvascular endothelium
Microvascular permeability,microvascular permeability
microvascular permeability,microvascular permeability
microvasculature,microvasculature
microvesicle,microvesicle
Microvesicles,microvesicle
Midkine,Midkine
MIF,MIF
migration,migration
Migration,migration
mineralocorticoid receptor,mineralocorticoid receptor
miR-101,miR-101
miR-107,miR-107
miR-122-5p,miR-122-5p
miR-124,miR-124
miR-126,miR-126
miR-128-3p,miR-128-3p
miR-1321,miR-1321
MiR-142a-5p,MiR-142a-5p
miR-144,miR-144
miR-150,miR-150
miR-17,miR-17
miR-186-5p,miR-186-5p
miR-199,miR-199
miR-204-3p,miR-204-3p
miR-217-5p,miR-217-5p
miR-223,miR-223
miR-29a,miR-29a
miR-29b-3p,miR-29b-3p
miR-30c-5p,miR-30c-5p
MIR3142HG,MIR3142HG
miR-3188,miR-3188
miR-33 and RIP140,miR-33 and RIP140
miR-330-5p,miR-330-5p
miR-34a,miR-34a
MiR-4262,MiR-4262
miR-450b-5p,miR-450b-5p
miR-483-5p,miR-483-5p
miR-490,miR-490
miR-642a-5p,miR-642a-5p
miR-92a,miR-92a
miRNA,miRNA
miRNA-181a-5p,miRNA-181a-5p
miRNA-21a-3p,miRNA-21a-3p
miRNA-451,miRNA-451
Mitochondria,mitochondria
mitochondria,mitochondria
mitochondrial aldehyde dehydrogenase 2,mitochondrial aldehyde dehydrogenase 2
Mitochondrial bioenergetics,Mitochondrial bioenergetics
Mitochondrial biogenesis,Mitochondrial biogenesis
Mitochondrial DNA,Mitochondrial DNA
mitochondrial dysfunction,mitochondrial dysfunction
mitochondrial fission/fusion,mitochondrial fission/fusion
mitochondrial respiration,mitochondrial respiration
Mitochondrial ROS,Mitochondrial ROS
mitochondrial ROS,mitochondrial ROS
mitochondrial targeting,mitochondrial targeting
Mitochondrial transcription factor A,Mitochondrial transcription factor A
Mitochondrial transfer,Mitochondrial transfer
mitochondrial transfer,mitochondrial transfer
mitochondrial transmembrane potential,mitochondrial transmembrane potential
Mitochondrial UPR,Mitochondrial UPR
mitochondrial-mediated apoptosis,mitochondrial-mediated apoptosis
mitogen-activated protein kinase,MAPK
Mitogen-activated protein kinase signaling pathways,MAPK signaling pathways
mitogen-activated protein kinases,MAPK
mitogen-activated protein kinases (MAPKs),MAPK
mitophagy,mitophagy
MitoQ,MitoQ
MJ33,MJ33
MK2,MK2
MK571,MK571
MLCK,MLCK
MLKL,MLKL
MMP inhibitor,MMP inhibitor
MMP1,MMP1
MMP3,MMP3
MMP9,MMP9
MMP-9,MMP9
molecular biology,molecular biology
molecular mechanism,molecular mechanism
Molecular pathology,Molecular pathology
monocyte,monocyte
Monocyte adhesion,Monocyte adhesion
Monocytes,monocyte
morphology,morphology
morphometry,morphometry
mouse,mouse
MPO,MPO
MPVEC cells,MPVECs
MPVECs,MPVECs
MRP4,MRP4
MRSA,MRSA
mtDNA repair,mtDNA repair
mTOR,mTOR
multi-organ dysfunction syndrome (MODS),multi-organ dysfunction syndrome (MODS)
multiple organ failure,multiple organ failure
Murine model,Murine model
murine models,murine model
mutant Prdx6,mutant Prdx6
MyD88,MyD88
MyD88 acetylation,MyD88 acetylation
myeloperoxidase,MPO
MYLK,MYLK
myosin,myosin
myosin light chain kinase (MLCK),MLCK
Na+,Na+
NAD(+),NAD(+)
NAD(P)H: quinine oxidoreductase-1,NAD(P)H: quinine oxidoreductase-1
NADPH oxidase,NOX
NADPH oxidase (NOX),NOX
NADPH oxidase isoform 2 (NOX2),NOX2
nanocarrier,nanocarrier
nanomedicine,nanomedicine
Nanomedicine,nanomedicine
Nanoparticles,nanoparticles
nanoparticles,nanoparticles
nanostructured lipid carriers,nanostructured lipid carrier
nanotechnology,nanotechnology
natriuretic peptides,natriuretic peptide
NcRNAs,non-coding RNA
necroptosis,necroptosis
Necroptosis,necroptosis
necrosis,necrosis
neferine,neferine
NE-kappa B,NE-kappa B
neonatal pulmonary disease,neonatal pulmonary disease
neovascularization,neovascularization
Neovascularization,neovascularization
NETosis,NETosis
NETs,neutrophil extracellular traps
network formation,network formation
Neuraminidase,Neuraminidase
neutrophil,neutrophil
Neutrophil,neutrophil
neutrophil adhesion,neutrophil adhesion
Neutrophil adhesion,neutrophil adhesion
neutrophil extracellular trap (NET),neutrophil extracellular traps
neutrophil extracellular traps,neutrophil extracellular traps
neutrophil migration,neutrophil migration
neutrophil recruitment,neutrophil recruitment
neutrophil transendothelial migration,neutrophil transendothelial migration
neutrophil-derived mediators,neutrophil-derived mediators
Neutrophil-endothelium adhesion,Neutrophil-endothelium adhesion
Neutrophils,neutrophils
neutrophils,neutrophils
new anti-CitH3 antibody,new anti-CitH3 antibody
NF kappa B Signaling,NF-kappa B pathway
NF-?B,NF-kappa B
NF-?B signaling pathway,NF-kappa B pathway
NF-kappa B,NF-kappa B
NF-kappa b,NF-kappa B
NF-kappa B p65,NF-kappa B p65
NF-kappa B P65,NF-kappa B p65
NF-kappa B pathway,NF-kappa B pathway
NF-KB,NF-kappa B
NF-KB activation,NF-KB activation
NF-KB pathway,NF-kappa B pathway
niacinamide,niacinamide
Nicotinamide adenine dinucleotide phosphate oxidase 4,Nicotinamide adenine dinucleotide phosphate oxidase 4
nicotinamide phosphoribosyltransferase,nicotinamide phosphoribosyltransferase
Nifedipine,Nifedipine
Nitration,nitration
nitration,nitration
nitrative stress,nitrative stress
nitric oxide,NO
Nitric oxide,NO
Nitric oxide (NO),NO
nitric oxide synthase,nitric oxide synthase
nitric oxide synthase 2,nitric oxide synthase 2
Nitrite,Nitrite
nitrogen mustard,nitrogen mustard
NLRP3,NLRP3
NLRP3 inflammasome,NLRP3 inflammasome
NMDA receptor,NMDA receptor
NO,NO
NOD-,NOD-
noncanonical TERT,noncanonical TERT
non-coding RNA,non-coding RNA
non-human primate,non-human primate
Non-muscle myosin heavy chain IIA,Non-muscle myosin heavy chain IIA
Non-muscle myosin IIA,Non-muscle myosin IIA
Non-muscle myosin light chain kinase,Non-muscle myosin light chain kinase
non-selective cation channel,non-selective cation channel
nonviral vector,nonviral vector
Notch pathway,Notch pathway
novel coronavirus diseases (or COVID-19),COVID-19
NOX enzymes,NOX
NOX1,NOX1
NOX2,NOX2
NOX2 inhibition,NOX2 inhibition
Nox4,NOX4
NOX4,NOX4
Nrf(2),Nrf2
Nrf2,Nrf2
NRF2,Nrf2
NS1619,NS1619
nuclear factor (NF)-kB p65,NF-kappa B p65
nuclear factor erythroid 2-related factor 2,Nrf2
Nuclear factor -kappa B (NF,NF-kappa B
Nuclear factor-kappa B,NF-kappa B
nuclear factor-kappa B,NF-kappa B
nuclear factor-kappa B (NF-kappa B),NF-kappa B
nuclear factor-kappa B pathway,NF-kappa B pathway
nuclear factor-kappaB,NF-kappa B
nuclear translocation,nuclear translocation
nucleocapsid,nucleocapsid
Nur77,Nur77
Obesity,obesity
obesity,obesity
Occludin,Occludin
ODSH,ODSH
oedema,oedema
Ogg1 depletion,Ogg1 depletion
Omentin-1,Omentin-1
or acute respiratory distress syndrome,ARDS
Orai 1,Orai 1
Organ injury,Organ injury
Organ interaction,Organ interaction
organ protection,organ protection
Oridonin,oridonin
oridonin,oridonin
osteopontin,osteopontin
Outcome,Outcome
oxidant injury,oxidant injury
oxidant stress,oxidative stress
oxidation,oxidation
oxidative burst,oxidative burst
Oxidative damage,Oxidative damage
Oxidative Stress,oxidative stress
Oxidative stress,oxidative stress
oxidative stress,oxidative stress
Oxidized low-density lipoprotein,Oxidized low-density lipoprotein
oxidized phospholipids,oxidized phospholipids
OxPAPC,OxPAPC
oxygen oscillations,oxygen oscillations
oxygen-glucose deprivation/oxygen-glucose restoration,oxygen-glucose deprivation/oxygen-glucose restoration
P aeruginosa,Pseudomonas aeruginosa
P- selectin,P- selectin
p190RhoGAP,p190RhoGAP
p22phox,p22phox
p23,p23
P2Y12 inhibitors,p2y12 inhibitor
P2Y12 receptor,P2Y12 receptor
p38,p38 MAPK
P38,p38 MAPK
p38 MAP kinase,p38 MAPK
p38 MAPK,p38 MAPK
p38 MAPK signaling pathway,p38 MAPK signaling pathway
p38 mitogen-activated protein kinase,p38 MAPK
P38MAPK,p38 MAPK
p38MAPK,p38 MAPK
p47phox,p47phox
P53,P53
p53 induction,p53 induction
P53 pathway,P53 pathway
P73,P73
PAI-1,plasminogen activator inhibitor 1
PAK1/AKT pathway,PAK1/AKT pathway
PAMPs,Pathogen-associated molecular patterns (PAMPs)
PAR,PAR
paracellular permeability,paracellular permeability
Paracrine,Paracrine
Paracrine effects,Paracrine effects
Paraquat,Paraquat
paraquat,paraquat
PARK7,PARK7
parthanatos,parthanatos
Particulate matter,Particulate matter
pathobiology,pathobiology
Pathogen-associated molecular patterns (PAMPs),Pathogen-associated molecular patterns (PAMPs)
pathology,pathology
Pathology Section,Pathology Section
Pathophysiologic feature,Pathophysiologic feature
pathophysiology,pathophysiology
pathway analysis,pathway analysis
paxillin,paxillin
PBEF/NAMPT,PBEF/NAMPT
p-Catenin,p-Catenin
p-Coumaric acid,p-Coumaric acid
PCTR1,PCTR1
PDE4B,PDE4B
PEAR1,PEAR1
PECAM-1,PECAM-1
pediatrics,pediatrics
PEEP,PEEP
PEL12,PEL12
Pentraxin 3,Pentraxin 3
perivascular edema,perivascular edema
Permeability,permeability
permeability,permeability
Permeability barrier,Permeability barrier
Peroxisome proliferator-activated receptor gamma,Peroxisome proliferator-activated receptor gamma
PFKFB3,PFKFB3
PGC-1 alpha mitochondria biogenesis,PGC-1 alpha mitochondria biogenesis
Pharmacokinetics,Pharmacokinetics
phorbol myristate,phorbol myristate
phosphatidic acid signaling,phosphatidic acid signaling
phosphatidylinositol 3-kinase,PI3K
phosphodiesterase,phosphodiesterase
phosphodiesterase inhibitor,phosphodiesterase inhibitor
Phospholipase D2,Phospholipase D2
phospholipase D2 (PLD2),Phospholipase D2
phospholipid scramblase 4 (PLSCR4),phospholipid scramblase 4 (PLSCR4)
phospholipidomics,phospholipidomics
phospholipids,phospholipids
phosphorylation,phosphorylation
phosphotyrosine signaling,phosphotyrosine signaling
Phytochemicals,Phytochemicals
PI3K,PI3K
PI3K p110 alpha,PI3K p110 alpha
PI3K/Akt,PI3K/Akt
PI3K/Akt pathway,PI3K/Akt
PI3K/Akt signaling pathway,PI3K/Akt
PI3K/Akt/eNOS,PI3K/Akt/eNOS
PI3K/AKT/mTOR pathway,PI3K/AKT/mTOR pathway
PIAS1,PIAS1
Piezo1,Piezo1
PIM,PIM
PIM1,PIM1
PI-PLC,PI-PLC
PKA,PKA
PKC alpha,PKC alpha
PKC inhibitor,PKC inhibitor
PKC pathway,PKC pathway
PLA(2)G5,PLA(2)G5
Plasma,Plasma
plasma,plasma
plasminogen activator inhibitor 1,plasminogen activator inhibitor 1
plasminogen activator inhibitor-1,plasminogen activator inhibitor 1
Plasmodium,Plasmodium
platelet,platelet
Platelet activating factor,Platelet activating factor
platelet-endothelial cell adhesion molecule,platelet-endothelial cell adhesion molecule
Platelets,platelet
platelets,platelet
plexin C1,plexin C1
PMN,PMN
PMN extravasation,PMN extravasation
PMVEC,pulmonary microvascular endothelial cell
PMVECs,pulmonary microvascular endothelial cell
pneumococcal pneumonia,pneumococcal pneumonia
Pneumococcal pneumonia,pneumococcal pneumonia
Pneumocytes,Pneumocytes
Pneumolysin,pneumolysin
pneumolysin,pneumolysin
pneumonia,pneumonia
Pneumonia,pneumonia
poisoning,poisoning
polymer micelles,polymer micelles
polymorphism,polymorphism
polymorphonuclear neutrophil,polymorphonuclear neutrophil
Polymorphonuclear neutrophils,polymorphonuclear neutrophil
Polyphyllin I,Polyphyllin I
porcine reproductive and respiratory syndrome virus (PRRSV),porcine reproductive and respiratory syndrome virus (PRRSV)
porous silicon,porous silicon
Post ARDS pulmonary fibrosis,Post ARDS pulmonary fibrosis
Postoperative period,Postoperative period
posttranslational,posttranslational
Post-translational Modification,Post-translational Modification
Post-translational modifications,Post-translational Modification
PP2A,Thr protein phosphatase 2A
Pravastatin,Pravastatin
Prdx6 phosphorylation,Prdx6 phosphorylation
pre-B cell colony-enhancing factor,pre-B cell colony-enhancing factor
preconditioning,preconditioning
preterm neonates,preterm neonates
prevention,prevention
primary graft dysfunction,primary graft dysfunction
primary human lung cells,primary human lung cells
priming,priming
Pristimerin,Pristimerin
PRNCR1,PRNCR1
progenitor cells,progenitor cells
Prognosis,Prognosis
programmed cell death,programmed cell death
Pro-inflammatory factor,Pro-inflammatory factor
proinflammatory mediators,proinflammatory mediators
Proliferation,proliferation
proliferation,proliferation
promoter,promoter
promoter activity,promoter activity
propofol,propofol
prostaglandin F-2 alpha (PGF(2 alpha)),prostaglandin F-2 alpha (PGF(2 alpha))
prostanoid EP receptor,prostanoid EP receptor
Protective autophagy,Protective autophagy
protein C,protein C
Protein kinase C,protein kinase C
protein kinase C,protein kinase C
Protein kinase C-delta,Protein kinase C-delta
protein kinase G,protein kinase G
protein processing,protein processing
Protein Structure,Protein Structure
protein tyrosine phosphatase non-receptor type 14 (PTPN14),protein tyrosine phosphatase non-receptor type 14 (PTPN14)
proteome,proteome
proteomics,proteomics
P-selectin,P-selectin
Pseudomonas aeruginosa,Pseudomonas aeruginosa
PTEN,PTEN
PTP1B,PTP1B
PTX,PTX
pulmonary,pulmonary
Pulmonary,pulmonary
pulmonary angiogenesis,pulmonary angiogenesis
pulmonary arterial hypertension,pulmonary arterial hypertension
pulmonary artery,pulmonary artery
pulmonary artery endothelial cells,pulmonary artery endothelial cells
Pulmonary barrier dysfunction,Pulmonary barrier dysfunction
pulmonary biology,pulmonary biology
pulmonary capillary,pulmonary capillary
pulmonary capillary endothelial cells,pulmonary capillary endothelial cells
pulmonary capillary vessels,pulmonary capillary vessel
pulmonary circulation,pulmonary circulation
pulmonary disease,pulmonary disease
pulmonary EC,pulmonary endothelial cell
pulmonary edema,pulmonary edema
Pulmonary edema,pulmonary edema
pulmonary embolism,pulmonary embolism
pulmonary endothelial barrier,pulmonary endothelial barrier
Pulmonary endothelial barrier,pulmonary endothelial barrier
pulmonary endothelial cell,pulmonary endothelial cell
pulmonary endothelial cells,pulmonary endothelial cell
Pulmonary endothelial cells,pulmonary endothelial cell
Pulmonary endothelial permeability,pulmonary endothelial permeability
pulmonary endothelial permeability,pulmonary endothelial permeability
Pulmonary endothelium,pulmonary endothelium
pulmonary endothelium,pulmonary endothelium
Pulmonary epithelial cells,pulmonary epithelial cell
pulmonary fibrosis,pulmonary fibrosis
Pulmonary fibrosis,pulmonary fibrosis
pulmonary function,pulmonary function
pulmonary hypertension,pulmonary hypertension
Pulmonary hypertension,pulmonary hypertension
pulmonary hypoplasia,pulmonary hypoplasia
pulmonary inflammation,pulmonary inflammation
Pulmonary inflammation,pulmonary inflammation
pulmonary inflammatory disease,pulmonary inflammation
pulmonary injury,pulmonary injury
pulmonary microvascular endothelial cell,pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial cell,pulmonary microvascular endothelial cell
pulmonary microvascular endothelial cells,pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial cells,pulmonary microvascular endothelial cell
pulmonary microvascular endothelial cells (PMVECs),pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial cells (PMVECs),pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial permeability,Pulmonary microvascular endothelial permeability
pulmonary microvascular endothelium barrier,pulmonary microvascular endothelium barrier
Pulmonary microvascular injury and repair,Pulmonary microvascular injury and repair
Pulmonary microvascular permeability,Pulmonary microvascular permeability
pulmonary mierovascular endothelial cells,pulmonary microvascular endothelial cell
Pulmonary pathology,Pulmonary pathology
pulmonary sarcoidosis,pulmonary sarcoidosis
pulmonary smooth muscle,pulmonary smooth muscle
Pulmonary vascular barrier,Pulmonary vascular barrier
Pulmonary vascular endothelial cell,Pulmonary vascular endothelial cell
Pulmonary vascular endothelial cells,Pulmonary vascular endothelial cell
pulmonary vascular endothelium,pulmonary vascular endothelium
Pulmonary vascular endothelium-targeting,Pulmonary vascular endothelium-targeting
pulmonary vascular leak,pulmonary vascular leak
Pulmonary vascular permeability,Pulmonary vascular permeability
pulmonary vasculature,pulmonary vasculature
PV-1,PV-1
PWV Analysis,PWV Analysis
pyroptosis,pyroptosis
Pyroptosis,pyroptosis
qing yin tang,qing yin tang
qPCR,qPCR
RAAS,RAAS
Rab GTPase,Rab GTPase
RAB26 GTPase,RAB26 GTPase
rabeprazole,rabeprazole
Rac1,Rac1
Radiation lung injury,radiation-induced lung injury
radiation-induced lung injury,radiation-induced lung injury
radiosensitivity,radiosensitivity
RAGE,RAGE
Raltegravir,Raltegravir
Ramelteon,Ramelteon
Rap1,Rap1
rapamycin,rapamycin
ras-related C3 botulinum toxin substrate 1,Rac1
Rat,rat
rat,rat
RBC transfusion,RBC transfusion
RBM3,RBM3
reactive nitrogen species,reactive nitrogen species
Reactive oxygen species,ROS
reactive oxygen species,ROS
Reactive oxygen species (ROS),ROS
